Metric,Pair,t_statistic,p_value,Significant_p05,Cohens_d,Effect_size
Merit_Scaled,Fractal vs Botanical,-2.2946,0.025932,yes,-0.5925,medium
Merit_Scaled,Fractal vs Random,0.705,0.48366,no,0.182,small
Merit_Scaled,Fractal vs Fibonacci,5.8292,1e-06,yes,1.5051,large
Merit_Scaled,Fractal vs Voronoi,-6.7846,0.0,yes,-1.7518,large
Merit_Scaled,Botanical vs Random,2.7638,0.007787,yes,0.7136,medium
Merit_Scaled,Botanical vs Fibonacci,6.7786,0.0,yes,1.7502,large
Merit_Scaled,Botanical vs Voronoi,-5.3172,4e-06,yes,-1.3729,large
Merit_Scaled,Random vs Fibonacci,4.4132,6.9e-05,yes,1.1395,large
Merit_Scaled,Random vs Voronoi,-7.0068,0.0,yes,-1.8091,large
Merit_Scaled,Fibonacci vs Voronoi,-8.9919,0.0,yes,-2.3217,large
Coherence_Ratio,Fractal vs Botanical,-22.385,0.0,yes,-5.7798,large
Coherence_Ratio,Fractal vs Random,-27.8924,0.0,yes,-7.2018,large
Coherence_Ratio,Fractal vs Fibonacci,-9.5432,0.0,yes,-2.464,large
Coherence_Ratio,Fractal vs Voronoi,-34.5704,0.0,yes,-8.926,large
Coherence_Ratio,Botanical vs Random,-7.3438,0.0,yes,-1.8962,large
Coherence_Ratio,Botanical vs Fibonacci,1.0006,0.323727,no,0.2584,small
Coherence_Ratio,Botanical vs Voronoi,-8.1089,0.0,yes,-2.0937,large
Coherence_Ratio,Random vs Fibonacci,4.586,4.8e-05,yes,1.1841,large
Coherence_Ratio,Random vs Voronoi,1.3711,0.177373,no,0.354,small
Coherence_Ratio,Fibonacci vs Voronoi,-4.2313,0.000187,yes,-1.0925,large
Peak_AF,Fractal vs Botanical,-0.3445,0.731776,no,-0.0889,small
Peak_AF,Fractal vs Random,2.8313,0.006444,yes,0.731,medium
Peak_AF,Fractal vs Fibonacci,6.3385,0.0,yes,1.6366,large
Peak_AF,Fractal vs Voronoi,-4.8153,2.3e-05,yes,-1.2433,large
Peak_AF,Botanical vs Random,2.9712,0.004479,yes,0.7672,medium
Peak_AF,Botanical vs Fibonacci,6.0725,0.0,yes,1.5679,large
Peak_AF,Botanical vs Voronoi,-4.5147,5.2e-05,yes,-1.1657,large
Peak_AF,Random vs Fibonacci,3.5731,0.000858,yes,0.9226,large
Peak_AF,Random vs Voronoi,-6.3661,0.0,yes,-1.6437,large
Peak_AF,Fibonacci vs Voronoi,-7.9352,0.0,yes,-2.0489,large
