Metric,Pair,Cohens_d_sector,p_holm_sector,verdict_sector,Cohens_d_continuous,p_holm_continuous,verdict_continuous,signature_absent_both
Merit_Scaled,Botanical vs Random,0.6723,0.506676,ns,0.9783,0.014779,above,True
Merit_Scaled,Botanical vs Voronoi,0.6058,0.92853,ns,1.127,0.002407,above,True
Merit_Scaled,Botanical vs Reticulate,-0.3798,1.0,ns,-0.0947,1.0,ns,True
Merit_Scaled,Botanical vs Dla,-0.3809,1.0,ns,0.5132,0.899925,ns,True
Merit_Scaled,Botanical vs Clusters,0.9318,0.039824,above,1.531,3.2e-05,above,True
Merit_Scaled,Botanical vs Concentric,2.1557,0.0,above,n/a,n/a,n/a,True
Peak_AF,Botanical vs Random,0.6877,0.443849,ns,0.995,0.012441,above,True
Peak_AF,Botanical vs Voronoi,0.641,0.679269,ns,1.1613,0.001568,above,True
Peak_AF,Botanical vs Reticulate,-0.3571,1.0,ns,-0.0748,1.0,ns,True
Peak_AF,Botanical vs Dla,-0.3672,1.0,ns,0.5317,0.899925,ns,True
Peak_AF,Botanical vs Clusters,0.9254,0.042004,above,1.5303,3.2e-05,above,True
Peak_AF,Botanical vs Concentric,2.1994,0.0,above,n/a,n/a,n/a,True
Coherence_Ratio,Botanical vs Random,-0.7483,0.239039,ns,-1.268,0.000408,below,False
Coherence_Ratio,Botanical vs Voronoi,-1.1226,0.004151,below,-1.5635,2.9e-05,below,False
Coherence_Ratio,Botanical vs Reticulate,-0.4385,1.0,ns,-0.5388,0.899925,ns,True
Coherence_Ratio,Botanical vs Dla,-0.3663,1.0,ns,-0.9015,0.037689,below,False
Coherence_Ratio,Botanical vs Clusters,-0.7924,0.161308,ns,-1.2398,0.000691,below,False
Coherence_Ratio,Botanical vs Concentric,-3.5714,0.0,below,-11.7157,0.0,below,False
